Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD]
1480;-0.663984;0.649877;0.068523;-0.694519;0.045159;-0.632894;1.202246;-0.892369
1490;0.144641;0.085697;-0.094167;0.628968;-0.611548;-0.206339;0.382475;-0.758540
1500;-0.454440;-0.373490;-0.824982;0.079462;-0.405610;-0.963822;-0.384336;-0.588963
1510;0.127633;0.266580;0.828759;-0.489085;-0.640706;-0.087938;-0.552926;0.406867
1520;-0.654765;-0.821048;0.384955;0.681866;-0.529674;0.271107;-1.316282;-0.069042
1530;0.148381;0.184569;0.152359;0.163303;-0.324199;0.155089;-0.182661;1.546141
1540;-0.357181;0.078988;-0.489001;0.003866;-0.077536;0.071598;-0.169893;-0.296044
1550;0.206384;-0.340791;-0.162154;0.069297;-0.189201;0.601052;-0.897859;0.297105
1560;0.989633;-0.581278;0.245818;0.746502;0.382061;0.261813;-0.485825;1.263490
1570;0.891519;0.581011;-0.087837;-1.121135;-0.099926;0.463631;-0.095017;0.542481
1580;-0.522516;0.874737;0.065083;0.797697;-0.203592;-0.186379;-0.024351;0.399565
1590;0.887117;0.828460;0.204392;0.199220;-0.368294;-1.014764;0.666702;-0.067785
1600;-0.966876;-0.291771;0.560014;-0.708799;-0.010679;-0.004048;-0.254810;0.045673
1610;-0.918424;-1.056063;-0.188844;0.657413;0.382332;-0.218098;0.343013;-0.012952
1620;-1.116226;0.900270;0.639525;1.221191;0.116225;0.121502;1.158332;-0.150918
1630;0.230539;-0.240529;-0.109069;0.829544;0.075843;-0.782980;-0.159082;0.453536
1640;0.367262;-0.201786;-0.807570;0.617249;-0.564696;0.406528;0.639033;-0.041454
1650;-0.238227;0.422614;-0.585816;1.465904;0.423308;-0.402593;0.405986;-0.166779
1660;-0.549047;-0.171909;0.720973;0.155199;-0.253417;-0.411640;-0.463386;-0.439016
1670;0.181821;-0.206415;-0.241331;0.267243;0.236180;-0.199194;-0.837871;0.118564
1680;0.565901;-0.343916;0.462238;-0.160911;0.265714;-0.374727;0.264034;-0.224000
1690;0.383896;0.338708;-0.357273;-0.494821;-0.248342;0.343679;0.119857;0.517483
1700;1.190775;0.097340;0.792199;0.105418;0.280406;-0.061727;0.234814;1.217048
1710;0.075759;-0.614018;-0.515966;-0.486626;-0.206574;0.433378;0.052762;-0.666341
1720;-0.598031;-0.296119;0.316963;0.375872;-0.196606;-0.078925;-0.210397;1.068774
1730;0.109909;0.633281;-0.414076;0.177966;0.621614;0.555833;-0.059250;0.444504
1740;0.763637;0.463442;0.186646;0.331339;0.566285;0.524808;-0.435177;0.316109
1750;-0.184160;0.570890;-0.482325;0.520008;0.079774;0.130854;-0.142547;1.250691
1760;0.985278;1.135068;0.686910;0.105387;0.081561;0.388353;-0.467905;-0.226119
1770;0.655332;0.327847;-0.405672;-0.488168;0.281249;0.224607;0.446216;0.336658
1780;0.561833;-0.362182;-0.078300;-0.203815;1.105343;-0.535947;0.797639;-1.061541
1790;0.363877;-1.163944;-0.507779;0.202528;0.345963;0.205615;0.417058;-0.412312
1800;0.008755;-0.773834;-1.036413;-0.672168;0.105118;-0.771726;-1.542507;-0.901625
1810;1.235970;-0.905866;-0.190310;-0.209844;-0.466284;-0.445511;-0.023032;-0.255405
1820;0.231916;-1.373724;-0.319018;0.165287;0.192260;-0.261628;0.532250;-0.286417
1830;-0.593993;-0.695145;-0.739915;0.856499;0.074755;0.399007;0.320203;-0.758143
1840;0.225727;0.171550;-0.454309;1.129583;-0.050420;0.617102;-1.581455;0.281963
1850;0.003272;0.336925;0.818881;0.007696;0.427689;-0.441264;0.561582;0.750686
1860;-0.749176;0.717166;-0.556996;-0.624568;-0.474316;0.228622;-0.165492;-0.324425
1870;-0.194985;0.074393;0.297593;0.257693;0.357029;0.054990;1.102604;-0.177811
1880;-0.072208;-0.201672;0.562934;-0.503071;0.676825;-0.207648;-0.538199;0.125048
1890;-0.152057;-0.299647;0.122227;-0.844514;-0.621021;-0.134212;0.727003;-0.299311
1900;-0.809376;-0.011612;0.332551;-0.110418;0.454386;0.211849;0.001897;-0.165486
1910;0.607755;-0.140580;1.178356;-0.014931;0.129623;0.043771;-0.738773;0.350077
1920;0.186915;0.317026;-0.082887;0.119139;-0.609940;-0.392698;-0.205849;0.370740
1930;0.406126;-0.337104;-0.203326;-0.651719;-0.081503;-0.201146;-0.929044;-1.367931
1940;-0.619206;0.103570;0.090085;-0.268089;0.123882;-0.299968;0.218454;-0.129427
1950;0.008143;-0.231986;-0.485069;0.233792;0.113648;0.175157;-0.076796;0.053559
1960;-0.093363;0.156623;0.193905;1.009799;-0.665625;-0.063454;0.092053;-0.734125
1970;-0.820711;0.422110;-0.699760;-0.754590;0.402470;-0.268162;1.120934;1.094739
1980;-0.862527;-1.308832;-0.506017;-0.051341;-0.928717;-0.284968;-1.944328;-0.839029
