Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD];TA9 [mOD];TA10 [mOD]
1740;1.916883;1.431107;1.300192;0.885524;1.666213;1.010412;1.327840;1.633044;1.873598;1.658991
1750;0.173705;1.257345;2.016021;0.866211;1.176016;1.240516;1.679223;0.604014;0.126632;1.811691
1760;1.270788;1.060629;1.410130;0.422140;0.751231;1.076321;1.684952;0.885033;0.336197;1.325191
1770;0.961455;1.100668;1.516179;1.067817;1.608832;1.022346;0.809470;1.446443;1.619638;1.643979
1780;0.904241;1.077129;1.744385;0.539348;0.639003;1.858067;1.504412;0.000423;1.493604;1.342584
1790;0.975671;2.260277;1.866812;2.000336;0.841345;0.566076;1.213860;1.412543;1.485014;0.546142
1800;0.870551;1.423714;-0.107878;1.048372;1.374069;1.323015;0.692154;1.325990;1.375846;0.712802
1810;2.012890;0.639999;1.043671;0.418792;0.767137;1.101666;0.819006;-0.265300;1.364556;1.561348
1820;0.711061;1.528433;1.207920;1.179343;1.433817;1.392534;0.743378;0.837303;0.721252;1.572079
1830;0.998432;1.123432;1.809683;1.699607;1.257536;1.430477;1.028659;0.385132;0.587505;1.071477
1840;1.436421;0.921181;1.460484;1.255015;0.977101;0.832584;0.954251;0.988220;0.625695;0.903002
1850;0.723539;1.181190;0.778251;1.168295;0.926988;0.951118;1.377268;2.174515;1.182998;0.306679
1860;0.132899;1.563553;0.657413;0.579370;0.629500;0.966841;1.346915;1.583545;0.963737;0.769251
1870;0.922827;0.731360;0.823192;1.676748;1.628612;0.566738;1.718321;1.888556;0.750463;0.960294
1880;2.156275;0.745783;1.049156;0.742655;1.606795;0.525258;1.416303;0.873156;1.409023;0.831792
1890;1.338894;0.584851;1.772720;1.181159;0.808734;1.127541;0.816858;1.012174;0.609658;1.568962
1900;1.256277;1.287229;0.345677;0.851772;1.340584;0.641213;1.084517;0.475460;0.895584;1.059892
1910;-0.319353;0.752420;1.085731;0.717462;0.764552;2.005281;1.356817;1.912977;0.873293;0.942003
1920;1.113982;1.652476;0.687314;1.396255;2.003519;0.615925;0.618888;1.301403;1.211679;-0.334524
1930;0.186787;0.930155;0.572183;0.887237;0.576672;0.884139;1.236739;0.812332;1.580500;1.360106
